Pressure Altitude (ft),Temperature (¡C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr),,,,y2zscore
6000,23,2200,21,-63,-134,10.8,,,,-0.685397958
6000,23,2200,20,-59,-130,10.1,,,,-0.194010559
6000,23,2200,19,-55,-125,9.5,,,,0.42022369
6000,23,2100,22,-63,-133,10.7,,,,-0.562551108
6000,23,2100,21,-59,-129,10.1,,,,-0.071163709
6000,23,2100,19,-51,-121,8.9,,,,0.911611089
6000,23,2100,18,-47,-115,8.3,,,,1.648692187
6000,23,2100,17,-43,-110,7.8,,,,2.262926436
8000,-21,2400,21,-77,-142,13.3,,,,-1.668172755
8000,-21,2400,20,-72,-139,12.4,,,,-1.299632206
8000,-21,2400,19,-68,-135,11.5,,,,-0.808244807
8000,-21,2400,18,-63,-130,10.7,,,,-0.194010559
8000,-21,2300,21,-74,-139,12.6,,,,-1.299632206
8000,-21,2300,20,-69,-136,11.8,,,,-0.931091657
8000,-21,2300,19,-64,-132,11,,,,-0.439704258
8000,-21,2300,18,-60,-127,10.2,,,,0.17452999
8000,-21,2200,21,-69,-136,11.8,,,,-0.931091657
8000,-21,2200,20,-65,-132,11.1,,,,-0.439704258
8000,-21,2200,19,-61,-128,10.3,,,,0.051683141
8000,-21,2200,18,-56,-124,9.7,,,,0.54307054
8000,-21,2100,21,-65,-132,11.1,,,,-0.439704258
8000,-21,2100,20,-61,-129,10.4,,,,-0.071163709
8000,-21,2100,19,-57,-124,9.7,,,,0.54307054
8000,-21,2100,18,-52,-120,9.1,,,,1.034457938
8000,-21,2100,17,-48,-115,8.5,,,,1.648692187
8000,-1,2400,21,-74,-143,12.7,,,,-1.791019605
8000,-1,2400,20,-70,-139,11.9,,,,-1.299632206
8000,-1,2400,19,-65,-135,11.1,,,,-0.808244807
8000,-1,2400,18,-60,-131,10.3,,,,-0.316857409
8000,-1,2300,21,-71,-140,12.1,,,,-1.422479056
8000,-1,2300,20,-66,-137,11.3,,,,-1.053938507
8000,-1,2300,19,-62,-132,10.6,,,,-0.439704258
8000,-1,2300,18,-58,-128,9.9,,,,0.051683141
8000,-1,2200,21,-67,-137,11.4,,,,-1.053938507
8000,-1,2200,20,-63,-133,10.7,,,,-0.562551108
8000,-1,2200,19,-58,-129,10,,,,-0.071163709
8000,-1,2200,18,-54,-124,9.3,,,,0.54307054
8000,-1,2100,21,-63,-133,10.7,,,,-0.562551108
8000,-1,2100,20,-59,-129,10,,,,-0.071163709
8000,-1,2100,19,-54,-124,9.4,,,,0.54307054
8000,-1,2100,18,-50,-120,8.8,,,,1.034457938
8000,-1,2100,17,-46,-114,8.2,,,,1.771539037
8000,19,2400,21,-72,-144,12.3,,,,-1.913866455
8000,19,2400,20,-67,-140,11.5,,,,-1.422479056
8000,19,2400,19,-63,-136,10.7,,,,-0.931091657
8000,19,2400,18,-58,-132,10,,,,-0.439704258
8000,19,2300,21,-69,-141,11.7,,,,-1.545325906
8000,19,2300,20,-64,-137,11,,,,-1.053938507
8000,19,2300,19,-60,-133,10.2,,,,-0.562551108
8000,19,2300,18,-56,-128,9.6,,,,0.051683141
8000,19,2200,21,-65,-137,11,,,,-1.053938507
8000,19,2200,20,-60,-133,10.3,,,,-0.562551108
8000,19,2200,19,-56,-129,9.7,,,,-0.071163709
8000,19,2200,18,-52,-124,9.1,,,,0.54307054
8000,19,2100,21,-60,-133,10.3,,,,-0.562551108
8000,19,2100,20,-57,-129,9.7,,,,-0.071163709
8000,19,2100,19,-53,-124,9.1,,,,0.54307054
8000,19,2100,18,-49,-119,8.5,,,,1.157304788
8000,19,2100,17,-45,-113,8,,,,1.894385886
10000,-25,2400,20,-74,-142,12.7,,,,-1.668172755
10000,-25,2400,19,-69,-138,11.8,,,,-1.176785357
10000,-25,2400,18,-65,-134,11,,,,-0.685397958
10000,-25,2400,17,-60,-129,10.2,,,,-0.071163709
10000,-25,2300,20,-71,-140,12.1,,,,-1.422479056
10000,-25,2300,19,-66,-136,11.3,,,,-0.931091657
10000,-25,2300,18,-61,-131,10.5,,,,-0.316857409
10000,-25,2300,17,-57,-126,9.7,,,,0.29737684
10000,-25,2200,20,-67,-136,11.4,,,,-0.931091657
10000,-25,2200,19,-62,-132,10.6,,,,-0.439704258
10000,-25,2200,18,-58,-128,9.9,,,,0.051683141
10000,-25,2200,17,-53,-123,9.2,,,,0.665917389
10000,-25,2100,20,-63,-132,10.7,,,,-0.439704258
10000,-25,2100,19,-58,-128,10,,,,0.051683141
10000,-25,2100,18,-54,-123,9.3,,,,0.665917389
10000,-25,2100,17,-50,-118,8.7,,,,1.280151638
10000,-25,2100,16,-46,-112,8.1,,,,2.017232736
10000,-5,2400,20,-71,-143,12.2,,,,-1.791019605
10000,-5,2400,19,-67,-139,11.4,,,,-1.299632206
10000,-5,2400,18,-62,-135,10.6,,,,-0.808244807
10000,-5,2400,17,-57,-130,9.8,,,,-0.194010559
10000,-5,2300,20,-68,-140,11.6,,,,-1.422479056
10000,-5,2300,19,-64,-136,10.9,,,,-0.931091657
10000,-5,2300,18,-59,-131,10.1,,,,-0.316857409
10000,-5,2300,17,-55,-126,9.4,,,,0.29737684
10000,-5,2200,20,-64,-137,11,,,,-1.053938507
10000,-5,2200,19,-60,-132,10.2,,,,-0.439704258
10000,-5,2200,18,-56,-128,9.6,,,,0.051683141
10000,-5,2200,17,-51,-123,8.9,,,,0.665917389
10000,-5,2100,20,-60,-133,10.3,,,,-0.562551108
10000,-5,2100,19,-56,-128,9.6,,,,0.051683141
10000,-5,2100,18,-52,-123,9,,,,0.665917389
10000,-5,2100,17,-48,-118,8.4,,,,1.280151638
10000,-5,2100,16,-44,-111,7.8,,,,2.140079586
10000,15,2400,20,-69,-144,11.8,,,,-1.913866455
10000,15,2400,19,-64,-140,11,,,,-1.422479056
10000,15,2400,18,-60,-135,10.2,,,,-0.808244807
10000,15,2400,17,-55,-130,9.5,,,,-0.194010559
10000,15,2300,20,-66,-141,11.2,,,,-1.545325906
10000,15,2300,19,-61,-136,10.5,,,,-0.931091657
10000,15,2300,18,-57,-132,9.8,,,,-0.439704258
